DATE,DRAW,WINNING NUMBERS,winning_digit_1,winning_digit_2,winning_digit_3
1529452800.0,2.0,434.0,4.0,3.0,4.0
1529539200.0,0.0,159.0,1.0,5.0,9.0
1529539200.0,1.0,617.0,6.0,1.0,7.0
1529539200.0,2.0,787.0,7.0,8.0,7.0
1529625600.0,0.0,516.0,5.0,1.0,6.0
1529625600.0,2.0,598.0,5.0,9.0,8.0
1529625600.0,1.0,386.0,3.0,8.0,6.0
1529712000.0,0.0,880.0,8.0,8.0,0.0
1529712000.0,1.0,625.0,6.0,2.0,5.0
1529712000.0,2.0,431.0,4.0,3.0,1.0
1529798400.0,0.0,875.0,8.0,7.0,5.0
1529798400.0,1.0,293.0,2.0,9.0,3.0
1529798400.0,2.0,992.0,9.0,9.0,2.0
1529884800.0,0.0,769.0,7.0,6.0,9.0
1529884800.0,2.0,825.0,8.0,2.0,5.0
1529884800.0,1.0,831.0,8.0,3.0,1.0
1529971200.0,0.0,230.0,2.0,3.0,0.0
1529971200.0,1.0,891.0,8.0,9.0,1.0
1529971200.0,2.0,705.0,7.0,0.0,5.0
1530057600.0,0.0,202.0,2.0,0.0,2.0
1530057600.0,1.0,524.0,5.0,2.0,4.0
1530057600.0,2.0,646.0,6.0,4.0,6.0
1530144000.0,2.0,488.0,4.0,8.0,8.0
1530144000.0,0.0,71.0,0.0,7.0,1.0
1530144000.0,1.0,286.0,2.0,8.0,6.0
1530230400.0,0.0,674.0,6.0,7.0,4.0
1530230400.0,1.0,403.0,4.0,0.0,3.0
1530230400.0,2.0,37.0,0.0,3.0,7.0
1530316800.0,1.0,897.0,8.0,9.0,7.0
1530316800.0,2.0,560.0,5.0,6.0,0.0
1530316800.0,0.0,687.0,6.0,8.0,7.0
1530403200.0,1.0,97.0,0.0,9.0,7.0
1530403200.0,0.0,891.0,8.0,9.0,1.0
1530403200.0,2.0,543.0,5.0,4.0,3.0
1530489600.0,2.0,379.0,3.0,7.0,9.0
1530489600.0,1.0,353.0,3.0,5.0,3.0
1530489600.0,0.0,738.0,7.0,3.0,8.0
1530576000.0,0.0,994.0,9.0,9.0,4.0
1530576000.0,1.0,598.0,5.0,9.0,8.0
1530576000.0,2.0,609.0,6.0,0.0,9.0
1530662400.0,0.0,438.0,4.0,3.0,8.0
1530662400.0,1.0,151.0,1.0,5.0,1.0
1530662400.0,2.0,638.0,6.0,3.0,8.0
