DATE,DRAW,WINNING NUMBERS,WINNERS,TOTAL PAYOUT
04/21/2021,NIGHT,7 9 2,"1,574","$128,688"
04/21/2021,EVENING,5 5 9,"1,387","$288,549"
04/21/2021,MIDDAY,3 8 6,"1,502","$158,490"
04/20/2021,NIGHT,5 6 4,"1,646","$146,432"
04/20/2021,EVENING,5 8 6,"1,761","$157,141"
04/20/2021,MIDDAY,4 7 8,"1,455","$194,685"
04/19/2021,NIGHT,3 6 3,566,"$108,836"
04/19/2021,EVENING,4 6 5,"3,218","$337,664"
04/19/2021,MIDDAY,5 9 2,"2,034","$178,481"
04/18/2021,NIGHT,1 6 5,"2,031","$207,792"
04/18/2021,EVENING,5 0 9,"1,634","$163,573"
04/18/2021,MIDDAY,1 6 6,"1,055","$186,213"
04/17/2021,NIGHT,3 0 4,"1,992","$221,886"
04/17/2021,EVENING,6 4 0,"1,782","$159,991"
04/17/2021,MIDDAY,7 1 5,"4,695","$678,278"
04/16/2021,NIGHT,5 7 0,991,"$89,175"
04/16/2021,EVENING,6 6 5,986,"$128,364"
04/16/2021,MIDDAY,3 9 5,"1,744","$191,204"
04/15/2021,NIGHT,5 0 3,"1,582","$186,244"
04/15/2021,EVENING,9 7 4,"1,473","$133,359"
DATE,DRAW,WINNING NUMBERS,WINNERS,TOTAL PAYOUT
04/15/2021,MIDDAY,0 6 7,"1,908","$158,365"
04/14/2021,NIGHT,3 1 1,"4,054","$904,222"
04/14/2021,EVENING,6 6 5,"1,194","$180,774"
04/14/2021,MIDDAY,1 5 5,"2,840","$575,518"
04/13/2021,NIGHT,7 4 0,"1,115","$92,605"
04/13/2021,EVENING,2 1 0,"9,350","$1,662,393"
04/13/2021,MIDDAY,0 5 5,"2,148","$393,477"
04/12/2021,NIGHT,3 0 5,"1,817","$215,581"
04/12/2021,EVENING,0 8 2,"2,101","$138,691"
04/12/2021,MIDDAY,0 8 6,"1,425","$111,332"
04/11/2021,NIGHT,8 2 5,"2,233","$352,271"
04/11/2021,EVENING,9 4 2,"2,035","$199,229"
04/11/2021,MIDDAY,6 0 3,"1,696","$206,735"
04/10/2021,NIGHT,2 7 5,"1,699","$164,842"
04/10/2021,EVENING,7 0 5,"1,768","$208,374"
04/10/2021,MIDDAY,2 9 8,"1,527","$122,356"
04/09/2021,NIGHT,6 4 4,"1,001","$190,033"
04/09/2021,EVENING,8 8 8,"9,875","$3,843,463"
04/09/2021,MIDDAY,8 0 3,"2,319","$316,993"
04/08/2021,NIGHT,0 1 9,"3,165","$239,128"
DATE,DRAW,WINNING NUMBERS,WINNERS,TOTAL PAYOUT
04/08/2021,EVENING,7 3 5,"4,791","$370,499"
04/08/2021,MIDDAY,7 5 4,"1,888","$183,349"
04/07/2021,NIGHT,4 4 5,"1,147","$216,460"
04/07/2021,EVENING,2 8 9,"2,448","$269,475"
04/07/2021,MIDDAY,8 0 2,"2,767","$332,641"
04/06/2021,NIGHT,0 4 2,"1,491","$151,918"
04/06/2021,EVENING,5 7 2,"2,674","$209,405"
04/06/2021,MIDDAY,6 1 6,"1,632","$339,827"
04/05/2021,NIGHT,8 1 0,"2,500","$352,774"
04/05/2021,EVENING,5 8 5,803,"$134,489"
04/05/2021,MIDDAY,7 2 4,"2,616","$330,272"
04/04/2021,NIGHT,6 0 0,686,"$129,968"
04/04/2021,EVENING,4 3 8,"2,307","$259,040"
04/04/2021,MIDDAY,7 4 4,884,"$144,669"
04/03/2021,NIGHT,6 8 7,"1,891","$146,340"
04/03/2021,EVENING,3 3 4,"1,683","$329,175"
04/03/2021,MIDDAY,6 1 7,"1,973","$235,536"
04/02/2021,NIGHT,5 0 9,"1,122","$147,728"
04/02/2021,EVENING,9 8 8,"1,567","$257,095"
04/02/2021,MIDDAY,2 4 0,"4,382","$395,307"
DATE,DRAW,WINNING NUMBERS,WINNERS,TOTAL PAYOUT
04/01/2021,NIGHT,5 6 9,"1,070","$121,672"
04/01/2021,EVENING,0 6 8,"1,487","$128,982"
04/01/2021,MIDDAY,2 5 5,"1,661","$308,878"
03/31/2021,NIGHT,1 6 4,"1,704","$144,035"
03/31/2021,EVENING,7 6 8,"2,797","$238,350"
03/31/2021,MIDDAY,4 7 2,"3,936","$413,347"
03/30/2021,NIGHT,9 7 2,"1,428","$119,399"
03/30/2021,EVENING,6 6 3,764,"$131,543"
03/30/2021,MIDDAY,1 0 4,"2,810","$336,873"
03/29/2021,NIGHT,8 2 1,"2,216","$233,626"
03/29/2021,EVENING,6 1 7,"2,466","$352,776"
03/29/2021,MIDDAY,6 8 3,"1,321","$119,880"
03/28/2021,NIGHT,9 3 9,336,"$55,330"
03/28/2021,EVENING,8 2 3,"4,716","$520,143"
03/28/2021,MIDDAY,6 9 8,"1,492","$147,920"
03/27/2021,NIGHT,2 7 3,"2,662","$203,712"
03/27/2021,EVENING,1 3 4,"2,797","$221,077"
03/27/2021,MIDDAY,6 9 2,"2,412","$228,621"
03/26/2021,NIGHT,7 0 3,"1,963","$228,936"
03/26/2021,EVENING,1 0 8,"4,153","$618,730"
DATE,DRAW,WINNING NUMBERS,WINNERS,TOTAL PAYOUT
03/26/2021,MIDDAY,6 6 8,888,"$160,101"
03/25/2021,NIGHT,2 2 3,"1,973","$401,509"
03/25/2021,EVENING,7 1 2,"7,872","$1,084,127"
03/25/2021,MIDDAY,9 6 4,"1,097","$99,231"
03/24/2021,NIGHT,7 4 0,959,"$83,568"
03/24/2021,EVENING,3 8 9,"1,192","$133,770"
03/24/2021,MIDDAY,1 0 4,"4,097","$563,481"
03/23/2021,NIGHT,6 6 9,548,"$103,406"
03/23/2021,EVENING,7 4 5,"1,697","$174,029"
03/23/2021,MIDDAY,5 4 5,"1,082","$185,094"
03/22/2021,NIGHT,4 9 2,"1,449","$112,484"
03/22/2021,EVENING,1 7 7,"1,778","$308,252"
03/22/2021,MIDDAY,5 0 3,"1,765","$172,982"
03/21/2021,NIGHT,7 6 8,"1,372","$111,113"
03/21/2021,EVENING,5 9 8,"1,035","$91,873"
03/21/2021,MIDDAY,7 0 4,"1,549","$203,583"
03/20/2021,NIGHT,1 4 9,"1,156","$95,994"
03/20/2021,EVENING,0 6 3,"2,226","$165,104"
03/20/2021,MIDDAY,5 9 8,"1,356","$118,948"
03/19/2021,NIGHT,7 4 5,"1,106","$131,008"
DATE,DRAW,WINNING NUMBERS,WINNERS,TOTAL PAYOUT
03/19/2021,EVENING,6 0 5,"1,443","$159,852"
03/19/2021,MIDDAY,8 6 8,"1,126","$215,070"
03/18/2021,NIGHT,1 8 5,"1,371","$127,390"
03/18/2021,EVENING,3 0 8,"3,049","$389,599"
03/18/2021,MIDDAY,3 4 1,"4,023","$324,638"
03/17/2021,NIGHT,8 6 7,"1,662","$141,984"
03/17/2021,EVENING,5 2 2,"3,023","$649,533"
03/17/2021,MIDDAY,7 1 0,"3,489","$421,340"
03/16/2021,NIGHT,6 2 6,"1,161","$286,992"
03/16/2021,EVENING,3 0 1,"6,263","$740,524"
03/16/2021,MIDDAY,0 2 0,"2,017","$343,846"
03/15/2021,NIGHT,3 7 5,"1,582","$138,287"
03/15/2021,EVENING,9 9 3,"1,103","$203,566"
